x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood
21135,18457,0,75,5.2905,2908.1,100.19,84.633
3352.9,17267,0,76,3.3013,4964.4,76.292,125.41
20907,10721,0,76,4.992,3824.2,172.82,139.46
21341,18011,0,76,7.4919,1949.4,99.523,71.645
3346.8,17263,0,77,3.2914,5020.9,78.083,160.29
20922,10728,0,77,4.4812,4296.1,165.39,146.53
3345.2,17260,0,78,3.3729,4775.3,73.843,121.42
3338.9,17260,0,79,3.3511,4862.6,76.059,144.26
3343.2,17251,0,80,3.5935,4435.6,77.31,111.76
9173.7,20771,0,80,7.6071,2068.9,122.33,29.467
3339.1,17261,0,81,3.6598,4321.7,77.368,149.99
9185.3,20775,0,81,8.238,1867.9,118.96,118.07
3348.2,17254,0,82,3.4615,4605.1,73.704,131.71
3346.2,17260,0,83,3.8233,4061.6,76.981,83.851
3350.8,17259,0,84,3.2704,5064.5,77.907,112.53
6977.4,12172,0,84,5.9214,2531.2,98.921,59.173
9184.4,20773,0,84,7.0279,2192.7,110.52,15.157
3349.2,17273,0,85,3.5896,4423.6,76.78,93.37
3353.8,17261,0,86,3.9328,3855.4,73.729,111.7
14700,3690.8,0,86,6.8375,2106.1,97.54,62.675
14714,3692.4,0,87,5.0809,3085.4,100.59,65.96
9200,20782,0,88,8.469,1816,119.01,125.7
14710,3699.8,0,88,4.9935,3121.2,97.461,94.933
14696,3702.9,0,89,5.0369,3106.7,99.485,51.374
14723,3689.2,0,90,5.1849,2928.5,92.91,76.915
9196.2,20772,0,92,7.5339,2040.8,113.39,63.662
9193.8,20772,0,93,7.8506,1941.3,113.25,45.056
12360,9489.6,0,98,7.3198,2189.9,134.01,78.251
12364,9489.9,0,98,7.0408,2274.3,130.69,69.964
12355,9487.2,0,99,7.3187,2218.6,138.66,86.491
10792,8728.9,0,100,6.0242,2409.2,88.848,50.718
12368,9481.6,0,100,6.1643,2707.3,135.68,92.202
10785,8730.6,0,101,5.9954,2397.4,90.453,50.261
10775,8732.2,0,102,6.3488,2244.4,91.733,54.759
6841.6,12606,0,103,6.5884,2156.2,91.904,92.658
15827,4797.9,0,106,6.5987,2156.9,91.498,54.948
11099,6208.9,0,107,6.3345,2297.3,97.528,118.06
11111,6203,0,108,6.5587,2247.5,102.95,69.447
11109,6196.7,0,109,5.4207,2764.1,94.005,74.321
11111,6210.5,0,110,5.8678,2552.2,100.49,68.619
11112,6211.4,0,111,5.164,2954,96.368,78.244
11098,6204.5,0,113,5.43,2788.3,97.351,78.807
11100,6205.3,0,114,5.6325,2668.4,98.105,73.493
11096,6221.2,0,115,5.8656,2545.4,99.938,59.012
5735.5,14247,0,119,5.4425,2714.2,90.34,68.098
5740.3,14262,0,120,6.1694,2330.8,91.666,73.846
12111,6780.6,0,130,5.7128,2792.6,117.7,50.973
12168,6862,0,131,6.1521,2619.9,124.74,139.19
12528,6956.9,0,133,5.3592,3077.5,122.94,95.942
12012,6931.8,0,136,5.9774,2746.3,130.09,72.834
20383,21763,0,142,4.1756,3982.1,100.34,71.959
12370,5029.5,0,149,5.4886,2628.3,83.927,55.58
12358,5033.1,0,150,3.3055,5091.9,80.341,53.888
12364,5034.6,0,151,5.292,2745.5,83.076,62.134
12357,5033.7,0,152,3.4647,4895,86.267,80.685
12359,5030.9,0,153,3.4328,4977.2,87.505,60.953
12368,5027.2,0,154,3.4359,4970.4,88.067,68.374
12362,5029.8,0,155,3.6005,4684.1,88.897,67.924
12362,5040,0,156,3.782,4270.7,82.749,72.668
12360,5035.5,0,157,3.2193,5328.9,81.463,63.389
12366,5034.3,0,158,4.1618,3807.6,86.987,37.63
12355,5021.9,0,159,4.8547,3038.8,81.775,86.267
12354,5019.6,0,160,4.6954,3190.7,83.191,57.639
12347,5009.1,0,161,4.917,3022.5,85.648,45.269
9849.1,16864,0,166,5.8449,2568.1,102.08,85.247
5772,14291,0,167,6.1964,2286.5,85.246,55.53
9850.2,16854,0,167,6.5737,2216.6,101.61,77.846
19988,15108,0,168,4.2183,4095.8,116.48,61.903
5785.2,14294,0,169,6.1332,2357.9,89.338,62.193
19995,15110,0,169,3.1952,5950.3,117.97,88.154
16704,17226,0,170,4.818,3226.9,94.102,75.515
19996,15114,0,170,2.8331,7335.9,136.61,120.42
5789,14282,0,171,6.3597,2202.7,86.686,45.232
19999,15100,0,171,2.8392,7132.7,125.24,94.457
5755.2,14266,0,172,4.8811,3090.3,87.493,65.682
20010,15103,0,172,2.8194,7320.3,131.77,93.91
5743.8,14259,0,173,5.6376,2625.6,93.294,49.28
20003,15101,0,173,3.0004,6628.6,126.22,72.905
19995,15119,0,174,3.1152,6333.2,129.14,120.56
19992,15121,0,175,2.8343,7345.5,137.61,144.52
20002,15101,0,176,5.9048,2591.2,106.37,70.201
19991,15114,0,177,6.7857,2211.2,110.03,75.357
12233,5085.6,0,182,6.8636,2057.2,94.778,101.89
12233,5077.7,0,183,6.2344,2278.4,90.737,121.67
12227,5064.8,0,184,5.7035,2527,88.965,93.953
15027,9210.3,0,198,6.6059,2363.6,109.6,73.126
15024,9204,0,199,5.0965,3305.3,113.5,28.643
16779,14540,0,199,6.055,2469.2,96.32,95.067
10538,4844.5,0,200,4.3465,3437.4,77.679,81.521
16647,14600,0,200,4.6055,3501.6,101.12,49.857
10541,4849.5,0,201,4.3203,3451.6,76.916,70.881
10541,4846.1,0,202,5.2885,2666.8,78.926,55.793
12758,15578,0,209,3.9294,4154.7,91.796,163.99
12752,15578,0,210,4.8446,3201,96.032,91.373
7554.3,12198,0,211,6.1466,2232.4,82.786,43.767
12750,15596,0,211,3.5569,4883.3,97.216,145.33
7561.8,12212,0,212,5.2505,2695.1,79.984,69.839
12749,15590,0,212,3.1554,5773.9,100.52,86.336
12749,15590,0,212,3.1578,5803.5,99.277,82.185
7576.6,12209,0,213,5.6976,2431.2,80.359,35.596
12744,15593,0,213,3.0532,6153.6,103.62,113.83
7558.6,12217,0,214,5.9198,2324.1,81.175,60.628
12761,15596,0,214,4.6185,3396.1,92.875,116.99
7553.4,12211,0,215,5.9264,2311,80.213,52.573
7566.1,12220,0,216,6.2934,2206.4,86.951,58.674
17894,17335,0,216,4.7355,3271.1,89.696,114.41
7558.4,12223,0,217,5.4202,2585.4,79.739,52.761
17910,17341,0,217,5.1826,2918,91.233,58.753
13398,13090,0,221,8.2711,1821.6,124.01,76.475
13395,13080,0,222,7.4636,2057.7,124.36,90.269
13382,13083,0,223,7.4512,2050,122.53,58.444
5596.1,16977,0,236,5.5772,2571.1,85.842,57.93
5620.9,16981,0,237,5.8255,2416.5,84.392,109.84
5605.2,16983,0,238,5.2601,2774.4,86.214,63.901
20389,21785,0,261,4.3448,3729,94.22,59.627
18126,13743,0,262,4.2504,3781,92.089,99.094
16097,4650.7,0,266,4.9162,2972.5,81.388,75.706
13471,18962,0,267,6.5267,2161.5,91.959,64.462
16091,4653.1,0,267,4.8556,3027.3,81.925,84.635
13458,18962,0,268,4.8041,3220.9,94.178,65.594
16094,4654.8,0,268,4.5732,3349.1,87.734,94.293
16095,4647.8,0,269,4.8586,3052.9,84.169,101.91
16095,4642.6,0,270,4.3644,3456.2,79.904,64.237
16088,4654.1,0,271,4.2662,3602.4,82.818,82.695
17914,17353,0,275,3.7863,4364.5,89.519,92.844
17915,17371,0,276,5.8066,2466.2,86.637,76.098
15250,10035,0,290,5.3474,2822.8,88.673,62.753
16969,7898.8,0,290,5.464,3076.7,132.15,85.322
16884,11987,0,293,7.0837,2151.4,116.44,96.762
15835,20020,0,294,8.0534,1852,116.44,66.856
16892,12001,0,294,6.4515,2432.9,119.03,65.355
17549,9948.1,0,294,6.3332,2336.6,98.143,70.976
15838,20021,0,295,5.7882,2866.4,128.65,102.19
16878,11994,0,295,5.6892,2836.7,119.62,53.507
9139.1,5500.6,0,296,6.1215,2403.3,96.05,86.565
15851,20022,0,296,6.1077,2766,139.73,65.818
16899,12004,0,296,6.0818,2581.6,114.16,58.554
9130.8,5490,0,297,6.1101,2399.5,95.573,70.116
15860,20024,0,297,6.1955,2658.4,132.26,79.566
9140.7,5495,0,299,6.2521,2359.3,99.707,79.009
14824,12158,0,305,4.3402,3717.4,96.14,62.138
14819,12158,0,306,3.9908,4148.2,95.837,74.646
14817,12164,0,307,4.1929,3890.2,96.681,79.073
13170,15435,0,308,5.9935,2422.1,94.562,69.71
14819,12162,0,308,5.4775,2683.3,89.696,45.992
13168,15428,0,309,6.2541,2261,90.49,80.941
6165.9,12544,0,354,5.6239,2929.4,123.31,61.114
11876,8035.2,0,360,4.0428,4045.1,85.341,62.497
13707,19821,0,360,3.7038,4383.8,82.727,94.772
11879,8025,0,361,3.2844,5401.8,87.215,93.787
13710,19828,0,361,3.6612,4402.3,80.109,82.717
11882,8019.3,0,362,4.2734,3738.4,84.829,129.85
13699,19812,0,362,3.7582,4351.6,85.25,73.38
11880,8036.2,0,363,3.0645,6005.6,89.241,111.46
13705,19809,0,363,3.3922,4921,81.444,106.71
11871,8023.2,0,364,4.9015,3113.7,84.113,67.095
13719,19822,0,364,4.1651,3730.7,82.533,67.56
18171,4475,0,366,6.799,2142.3,99.056,70.174
5537.3,16044,0,391,3.4531,4849.9,82.595,90.403
5537.1,16038,0,392,2.9062,6257.1,86.445,73.865
5539.6,16044,0,393,2.811,6517.8,83.386,85.44
5542,16041,0,394,3.0938,5775.5,88.703,68.454
16246,8283.5,0,394,5.8943,2468.5,91.958,36.963
5544.6,16059,0,395,4.0186,3955.8,82.099,64.743
13794,3822.6,0,409,5.0782,2916.2,84.771,58.65
13788,3808.6,0,412,5.4271,2702.9,88.927,74.736
13790,3810,0,413,4.9096,3023.2,84.637,73.154
13789,3797.3,0,414,5.1165,2842.2,82.883,65.265
11850,8855.3,0,425,7.135,2067.6,109.63,99.596
11839,8842.1,0,427,6.8882,2137,106.47,82.483
11851,8835.7,0,428,7.4953,1925.3,106.11,78.294
11844,8839.4,0,429,6.7485,2218.2,110.11,69.952
11854,8846,0,430,6.6111,2263.7,109.14,82.63
11850,8835.5,0,431,7.6689,1880.4,107.12,57.898
18038,14632,0,438,5.5375,2784.9,104.48,56.121
18038,14631,0,438,5.9165,2621,110.51,64.294
5172.3,17774,0,440,4.4808,3520.9,93.484,75.123
5171.4,17781,0,441,4.3807,3541.3,87.302,83.323
5176.6,17779,0,442,4.4962,3401.4,85.662,53.788
5182.2,17781,0,447,3.8958,4189.7,90.576,69.858
5189.9,17772,0,448,5.0662,2985.8,90.94,39.434
5175.7,17776,0,449,4.0569,3962.4,89.923,82.734
5182.2,17782,0,450,4.1503,3880.9,92.861,67.954
5184.5,17775,0,451,5.5856,2578,85.169,60.156
17003,11735,0,458,6.0894,2421.1,96.45,68.828
17010,11752,0,459,6.6853,2174.6,98.694,82.533
15146,11260,0,460,6.6811,2059.4,86.875,81.985
17004,11753,0,460,6.3684,2300.1,98.083,89.311
14036,11466,0,461,4.2068,3756,89.836,106.61
14039,11465,0,462,3.9712,4130.9,95.119,59.347
14049,11470,0,463,3.7525,4416.8,92.156,59.036
14031,11460,0,464,3.0496,5840.7,90.672,86.228
14041,11464,0,465,4.5168,3399.1,88.251,70.662
14024,11464,0,466,4.2522,3690.2,88.833,58.044
14035,11462,0,467,4.1828,3807.1,91.584,71.515
738.66,16330,0,468,6.3638,2046,71.905,71.4
14032,11464,0,468,4.3784,3521.4,86.757,56.893
14038,11474,0,469,4.6252,3334.5,91.116,83.718
14017,17459,0,469,6.9316,2006.7,88.988,48.835
14029,17453,0,470,5.8597,2507.7,93.04,61.164
21364,16903,0,470,6.5779,2291.9,107.52,62.37
14133,17328,0,471,5.009,2983.6,86.116,62.898
21344,16919,0,471,5.6605,2792.2,111.68,79.14
14159,17303,0,472,4.587,3288.8,81.997,65.701
21335,16901,0,472,5.5853,2846.4,111.21,81.673
10177,5872,0,473,6.8426,2353.5,132.97,179.18
21383,16899,0,473,5.9,2635.2,109.51,90.824
21336,16860,0,474,4.8105,3563,125.34,102.51
13571,3303.1,0,477,6.271,2357,99.38,70.289
16744,11992,0,477,5.8209,2574,99.5,86.72
13598,3303.5,0,478,5.4302,2717.2,90.897,72.677
16746,11996,0,478,5.7781,2623.3,102.19,129.38
10192,6156.6,0,479,4.9375,3506.3,132.81,97.815
13581,3300,0,479,6.1843,2312.4,91.177,65.021
16747,11988,0,479,6.2015,2333.9,94.399,112.97
10487,6022.6,0,480,6.7141,2511.8,148.13,136.47
13583,3293.7,0,480,4.9582,3076.4,92.086,84.711
10209,6014.1,0,481,7.2583,2183.2,127.5,152.6
13587,3273.8,0,481,3.3684,5284.9,101.45,91.523
13580,3282.8,0,482,4.6162,3339.5,89.721,90.335
13580,3282.7,0,482,4.6324,3344.3,89.815,78.392
13590,3291.6,0,483,4.0757,4018.3,95.087,95.855
13587,3282.6,0,484,5.4652,2655.3,87.101,78.208
13592,3286.6,0,485,5.8364,2462.4,88.973,79.925
10047,5575.4,0,486,7.2353,2096.7,115.59,98.348
13584,3289.4,0,486,5.1924,2858.8,88.75,65.446
13594,3308.8,0,487,5.8291,2515.7,92.5,82.209
10082,5574,0,488,6.7117,2363.7,123.84,120.1
13577,3307.3,0,488,5.9706,2426.7,92.423,61.973
13586,3294.1,0,489,5.5372,2692.3,94.264,62.198
13589,3300.7,0,490,5.3024,2797.1,90.275,75.885
13599,3294.4,0,491,5.4464,2669.7,86.965,97.264
13601,3294.7,0,492,5.9606,2368,85.55,60.29
14155,12374,0,492,5.319,2693.7,82.716,72.169
13590,3291.3,0,493,5.8088,2478.6,88.592,73.785
14152,12376,0,493,4.4495,3390.2,82.002,78.557
13585,3312.5,0,494,4.6697,3350.8,95.187,82.234
14154,12386,0,494,4.5251,3311.4,82.176,81.733
13603,3316.7,0,495,6.5741,2035.3,79.9,73.2
13722,19829,0,495,3.6437,4558.4,88.168,43.071
14165,12377,0,495,4.6615,3185.3,81.739,59.172
13701,19816,0,496,3.5533,4670,83.876,72.284
14145,12376,0,496,4.4118,3438.7,82.703,63.52
12428,8629.8,0,497,6.4467,2180.3,86.857,57.668
13707,19819,0,497,3.7616,4368.7,87.582,79.18
14149,12388,0,497,4.6507,3235.9,85.523,68.721
13703,19814,0,498,3.7119,4510.7,91.073,83.53
14158,12386,0,498,3.9718,3872.9,77.532,72.048
12415,8604.9,0,499,6.2719,2246.3,85.887,64.866
14159,12384,0,499,5.0819,2838.5,81.567,72.018
12412,8618.4,0,501,6.6394,2127,89.915,87.746
5334.9,20331,0,511,6.0576,2289.8,82.731,69.769
5777.1,3908.3,0,511,5.3862,2674.4,81.604,64.32
5343.4,20322,0,512,5.5302,2529.6,78.822,84.646
5769,3927.5,0,512,4.0711,3875.7,82.487,62.647
5343.2,20328,0,513,5.7735,2431.2,82.255,66.958
5772.3,3919.2,0,513,4.2618,3701.1,85.77,63.902
5786.3,3932.3,0,515,4.7851,3141,83.365,54.862
5786.8,3917.1,0,516,4.7851,3135.6,83.458,47.075
5779.7,3921.8,0,517,4.8027,3052.3,77.468,76.132
5822.3,3914.1,0,524,5.3671,2714.3,85.773,73.034
9540.9,8182.5,0,526,6.4002,2123.6,82.175,44.557
15956,17170,0,529,6.7157,2152.3,99.381,91.098
9548.9,8173.3,0,538,2.773,6798.7,93.38,96.807
9549.4,8180.1,0,539,2.9918,6131.5,95.419,75.419
9545.8,8172.7,0,540,3.1668,5513.2,86.967,52.205
9547.7,8166,0,541,3.4576,4890.3,87.188,63.059
9547.8,8171.4,0,542,2.949,6200.8,91.966,60.296
10014,11528,0,542,4.3948,3411.4,77.403,62.122
9549.3,8175.5,0,543,3.3806,5195,96.652,84.822
10002,11529,0,543,4.0192,3956,84.26,61.62
9554.3,8174.4,0,544,3.5482,4727.6,87.782,86.289
9548.4,8168.2,0,545,3.8487,4212.1,86.673,53.811
9544.5,8175.3,0,546,3.1906,5585,94.53,52.982
9550,8174.4,0,547,3.2438,5461.8,94.254,54.097
9546.1,8175.7,0,548,3.3466,5160.7,90.508,67.275
8826.3,14403,0,552,5.7899,2467.4,86.86,77.641
8818.7,14403,0,553,4.6513,3337.2,91.833,93.421
8824.8,14398,0,554,5.3169,2839.9,95.283,54.749
8817,14402,0,555,4.1793,3889.4,92.88,79.184
8816.9,14400,0,556,3.2943,5508.5,103.69,99.905
8825.8,14406,0,557,3.5486,4850.7,95.653,109.08
8830.1,14401,0,558,3.2044,5623.1,98.485,86.663
8818.3,14401,0,559,3.7077,4533.5,93.097,48.585
8817.7,14405,0,560,4.4001,3546.9,88.434,74.95
10238,3794.9,0,560,6.4601,2163.3,89.521,51.414
10242,3795.7,0,561,5.92,2445.6,93.013,70.723
10244,3808.6,0,562,7.1123,1914.8,88.649,54.644
8827,14400,0,563,3.817,4340.7,92.346,71.292
8820.4,14399,0,564,4.2404,3814.2,95.412,74.524
5427.7,19856,0,565,7.9708,1930.3,126.73,119.94
8824.9,14412,0,565,4.611,3374.6,91.671,61.063
8825.3,14410,0,565,4.5941,3395.3,91.056,63.476
15412,15943,0,567,5.6884,2621.1,91.755,59.456
15415,15951,0,568,5.5117,2692.4,90.342,35.731
15425,15933,0,569,5.8349,2493.1,88.512,30.062
15411,15938,0,570,5.8266,2540.8,92.2,64.21
15429,15938,0,571,5.635,2657.3,92.841,44.531
15434,15953,0,572,5.7943,2518.5,89.357,68.452
8991.6,11683,0,579,4.9799,3092.6,95.118,88.58
8985.4,11685,0,580,4.2054,3983.8,105.31,86.725
8427,16445,0,581,8.2933,1962.5,138.05,106.28
8992.6,11680,0,581,5.0968,3133.7,107.53,75.739
8988.8,11689,0,582,4.7117,3471,108.13,96.118
9003,11664,0,583,4.1495,4074.7,106.44,67.657
8998.8,11679,0,584,5.4158,2808.7,97.89,64.698
9011.3,11673,0,585,5.7057,2617,96.114,62.666
9011.7,11673,0,585,5.6859,2630.1,95.455,62.694
16767,12004,0,591,5.1199,3050.2,101.33,110.35
16755,12005,0,592,7.2363,1947.6,96.196,69.05
8439.7,16448,0,593,7.3528,2181.9,125.84,54.035
18077,8233.9,0,593,6.2053,2316.3,92.894,63.123
8450.2,16458,0,594,6.9518,2486,146.84,93.461
18088,8237.6,0,594,5.9077,2485.3,94.664,49.813
8449.7,16447,0,595,6.4935,2663.7,142.72,118.37
18088,8229.4,0,595,6.243,2305.6,93.215,55.759
8441.7,16456,0,596,6.4795,2652.3,140.43,97.044
18086,8217.5,0,597,6.5841,2188.8,96.766,87.429
18089,8209.5,0,598,5.8815,2475.1,92.507,56.579
17535,7603.4,0,599,5.2293,3265.8,124.18,93.327
18058,8212.1,0,599,6.2878,2392.8,106.74,99.983
17754,7717.8,0,600,6.7365,2373.5,117.15,58.207
18086,7560.6,0,601,5.3593,3428.5,143.72,389.96
17817,7354.3,0,603,7.3716,2058,110.79,93.993
17970,7532.4,0,604,5.7601,3121.2,146.95,205.77
18080,7556.9,0,605,5.8067,3161,162.47,246.8
19113,10089,0,605,4.9289,2971.3,82.239,109.86
17743,8036,0,606,4.5724,4025.3,143.94,271.13
19106,10089,0,606,4.0297,3888.4,82.59,81.608
7720.5,11608,0,607,6.4829,2095,77.723,70.287
17689,7952.9,0,607,6.0722,2778.7,133.89,193.06
19120,10098,0,607,4.0247,3858.7,79.586,95.957
7718.7,11589,0,608,4.7266,3156.1,79.785,67.437
19115,10086,0,608,4.3667,3527.3,85.447,47.459
7715.9,11595,0,609,3.4819,4740.8,78.081,81.059
19111,10096,0,609,3.9199,4105,86.709,80.705
7710.5,11602,0,610,3.6925,4357,77.054,55.702
19107,10092,0,610,3.5558,4605.9,81.938,52.006
7704.4,11594,0,611,6.0514,2248,75.348,60.959
19111,10095,0,611,3.4484,4788.2,80.795,137.13
7712.3,11602,0,612,3.7378,4383.7,83.186,69.175
19117,10094,0,612,4.3506,3648.3,92.856,70.285
7714.4,11602,0,613,3.626,4567.5,82.886,69.114
19103,10095,0,613,5.1134,2814.1,80.276,82.765
7708,11598,0,614,3.6492,4451.8,78.943,81.453
19108,10098,0,614,3.9812,3900.3,78.478,78.328
7714.2,11594,0,615,3.7366,4254,75.405,55.763
19114,10087,0,615,3.7197,4358.1,84.232,83.222
7711.2,11596,0,616,3.722,4335.7,79.04,112.47
19117,10093,0,616,4.7561,3163.1,86.042,62.053
7715.2,11602,0,617,3.6299,4526.5,80.741,78.82
19112,10089,0,617,4.3781,3478.6,82.598,66.88
7719.4,11602,0,618,3.6326,4518.7,80.216,89.708
19111,10091,0,618,2.9224,6141.2,85.545,112.85
7720,11592,0,619,3.8198,4219.4,80.96,61.18
19111,10080,0,619,4.5632,3299.7,83.551,82.831
7712.2,11605,0,620,3.7162,4395.8,81.516,85.016
19101,10092,0,620,4.193,3650.6,79.863,116.36
7708.8,11605,0,621,3.3819,5033.5,83.22,77.717
19105,10090,0,621,3.8876,4118.3,84.9,57.099
7716.8,11599,0,622,3.4259,4935.9,82.694,93.12
19116,10096,0,622,4.2721,3641.9,85.648,100.65
19116,10097,0,622,4.1943,3705.8,83.445,94.892
7719.9,11608,0,623,3.6411,4594.8,85.294,78.989
7725.3,11600,0,624,3.5168,4773.7,82.705,97.328
19114,10087,0,624,3.3495,4977.5,80.843,107.05
7714,11595,0,625,3.5325,4733.3,83.32,45.368
19107,10090,0,625,3.5685,4629.2,84.901,76.544
7711.4,11596,0,626,4.573,3359.9,84.743,68.612
19116,10091,0,626,4.0037,3994.1,87.394,81.013
7721.4,11592,0,627,3.5135,4760.2,82.47,70.065
5792.6,15764,0,628,7.5201,1849.8,93.961,67.33
7715.8,11596,0,628,3.4421,4908.9,83.294,107.5
19120,10091,0,628,6.133,2291.5,86.903,69.576
7727.3,11609,0,629,4.0654,3892.6,80.359,85.016
19116,10088,0,629,3.6787,4378.4,81.276,96.966
5792.8,15763,0,630,6.7598,2055.9,87.914,106.21
7723.2,11597,0,630,3.6012,4632.5,83.898,57.576
19116,10092,0,630,4.3393,3519.6,82.386,113.77
2365.2,21166,0,631,4.7299,3101.4,80.204,81.124
7723.4,11604,0,631,3.7311,4341.9,79.171,70.412
19118,10095,0,631,2.7667,6570.1,81.763,162.94
19118,10098,0,631,2.6955,6723.2,76.672,122.7
2363.1,21158,0,632,4.9993,2911.8,82.347,60.768
7713.1,11595,0,632,3.4765,4727.7,76.929,85.135
19114,10088,0,632,3.9258,4035.4,83.201,92.872
2356.1,21170,0,633,5.0188,2927.9,84.883,53.485
7715.7,11608,0,633,4.0623,3893.2,81.045,55.446
2360.7,21163,0,634,4.9807,2856.4,76.667,66.408
7711.1,11602,0,634,3.7909,4202,77.007,87.25
2349.9,21156,0,635,6.006,2278.4,79.638,77.996
7706.9,11600,0,635,3.9593,4020.3,81.347,77.432
7721.9,11596,0,642,5.3026,2714.2,79.105,75.136
7720.3,11588,0,643,6.3465,2177.4,81.289,57.507
7718.8,11594,0,644,3.7656,4329.1,82.616,66.12
