x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood
3314,17233,0,50,4.383,3765.2,104.77,317.19
5301.5,15683,0,50,6.6339,2240.1,93.901,105.62
6922.8,6008.1,0,50,6.1433,2851.9,153.05,151.9
3330.8,17238,0,51,3.8631,4391.2,101.69,287.47
5317.2,15667,0,51,6.7283,2185.2,96.766,90.084
6930.8,6020.4,0,51,6.3945,2626.4,140.03,98.495
3336,17252,0,52,3.5805,4847.7,101.47,382.85
5310.8,15676,0,52,5.874,2630.5,95.471,108.62
6925.7,5993,0,52,5.8598,2994,149.15,109.38
3334.9,17249,0,53,3.7698,4417.3,94.132,144.74
5315,15674,0,53,6.2016,2461.8,95.817,70.988
11883,8060.4,0,53,4.6033,3583.5,100.02,54.845
3348.1,17267,0,54,3.0133,5649.6,76.151,122.97
5305.4,15692,0,54,7.0372,2071.3,93.162,50.301
11873,8030.1,0,54,4.4783,3634.7,93.475,52.308
3342.5,17263,0,55,4.1161,3764.4,83.154,119.24
5311.4,15676,0,55,6.6588,2227.6,93.162,80.934
11903,7982.8,0,55,4.5263,3570.5,94.179,85.457
15915,17185,0,55,6.4971,2475,128.47,77.313
3355.8,17267,0,56,3.7139,4251.8,78.645,127.46
5315.7,15692,0,56,6.2637,2363.6,89.99,51.438
11910,7992,0,56,4.2085,3936.6,94.004,23.153
15934,17202,0,56,4.9938,3465.3,131.42,147.86
3344.4,17257,0,57,3.5749,4471.6,77.765,134.05
5308.6,15671,0,57,6.0847,2412.9,89.96,81.758
6011.6,12837,0,57,6.9484,2114.2,101.38,66.554
11317,3407.2,0,57,4.4767,3472.2,88.675,74.309
11942,7961.9,0,57,4.403,3681.2,92.395,62.202
15931,17191,0,57,5.337,3235.8,137.25,85.738
3344.6,17265,0,58,3.7644,4155.9,77.45,97.019
5314.3,15687,0,58,6.2352,2397.2,91.794,98.433
11311,3397.4,0,58,4.5081,3580.8,99.142,106.78
11891,7998.7,0,58,4.5547,3519.1,91.996,49.47
15913,17209,0,58,5.0514,3452.9,136.44,154.23
20585,12305,0,58,6.2199,2483.8,114.18,65.306
3343.1,17256,0,59,3.4964,4598.1,76.962,104.54
5297.3,15670,0,59,6.0682,2407.5,88.569,56.244
11900,7986,0,59,4.7288,3363.1,93.394,62.068
15924,17197,0,59,4.7761,3639,129.65,127.93
20592,12300,0,59,6.3238,2459.5,117.63,90.207
3346.6,17262,0,60,3.3097,4902.4,73.812,115.17
5313.3,15670,0,60,4.3118,3916.1,93.247,71.1
7839.4,18333,0,60,6.3196,2437.3,108.35,95.937
7859.7,19027,0,60,6.2551,2343.2,100.08,98.774
11919,7954.1,0,60,4.1753,3897.6,89.005,97.001
13423,13574,0,60,6.7326,2449.4,140.21,62.141
15917,17199,0,60,4.8944,3554.9,132.75,99.307
3347,17259,0,61,3.3509,4822.8,73.996,130.25
5324.6,15680,0,61,7.5771,1888.3,91.961,107.46
7861.5,19016,0,61,6.2355,2399.8,105.72,81.06
11918,7949.5,0,61,4.3689,3735.3,94.161,77.674
13426,13574,0,61,7.1242,2297.9,141.3,61.376
15923,17194,0,61,5.6907,2944.2,132.12,118.42
3342.1,17266,0,62,3.5832,4455.4,77.825,87.229
5321.8,15680,0,62,6.8552,2134.2,91.794,101.19
7860.3,19024,0,62,5.8929,2486.8,96.246,72.951
15922,17200,0,62,5.2796,3217.8,130.66,135.2
3346,17254,0,63,3.6334,4385.6,78.486,102.53
7842.8,19020,0,63,5.8412,2523.7,96.735,77.416
15931,17192,0,63,5.2184,3242.8,127.85,105.23
20601,12299,0,63,6.3136,2471.6,118.8,76.832
3345.5,17256,0,64,3.5529,4474.4,75.712,137.93
15929,17184,0,64,5.8735,2766.8,123.97,105.3
3340.6,17258,0,65,3.1876,5239.6,77.132,134.71
15932,17202,0,65,5.4394,3084.5,128.1,126.95
3347,17268,0,66,3.5053,4573.9,76.816,112.04
15931,17200,0,66,5.4997,3023.6,126.13,110.48
3346.5,17255,0,67,3.2855,5066.3,79.608,103.73
8660.4,12229,0,67,5.8344,2544.9,98.922,62.305
13440,7491.2,0,67,5.5084,2677.9,91.127,82.016
15926,17200,0,67,7.2216,2163.7,125.36,102.92
3348.3,17259,0,68,3.3319,4904.1,76.302,111.79
8667.5,12216,0,68,4.502,3571.5,101.25,95.427
3352.6,17264,0,69,3.3086,4871.1,72.128,110.49
8679.3,12222,0,69,4.0051,4235.4,103.24,60.137
3355,17259,0,70,3.5686,4435.6,75.18,125.69
3345.3,17255,0,71,3.6516,4308.9,75.752,98.481
3350.9,17257,0,72,3.8144,4031.9,74.304,109.29
3342.7,17265,0,73,3.457,4640,75.41,126.89
3344.6,17259,0,74,3.8535,4041.3,78.388,107.14
21139,18468,0,74,4.8379,3210.4,96.027,84.111
3347.3,17258,0,75,3.634,4370.6,77.78,150.04
6564.5,13122,0,75,7.0598,2122.1,110.36,64.803
