"frame","x [nm]","y [nm]","intensity [photons]","loglikelihood" 
1596,18203,9858,4329.4,-196.11
1597,18196,9844.8,3284.4,-197.15
1612,24423,8762.7,2064.1,-188.78
1650,24242,12706,1736.9,-158.71
1760,21565,9649.2,3820.6,-188.08
1763,23866,10507,1080.3,-185.03
1770,21564,9644.7,2853.8,-184.83
1771,21559,9649.2,4202.7,-206.75
1772,21563,9638.9,3455.8,-220.55
1774,21555,9642.4,4061.3,-219.73
1775,21553,9649.9,3319,-201.5
1776,21567,9634.5,1279.4,-194.11
1777,21557,9653.2,3034.3,-192
1778,21564,9648.1,2351.9,-181.99
1779,21562,9649.1,3051.4,-188.09
1780,21562,9653.1,4375.4,-240.11
1781,21561,9648.2,3755.8,-213.73
1782,21558,9654.6,3246.4,-205.38
1786,21569,9645,1379.2,-175.17
1787,21567,9643.5,3754.1,-203.99
1788,21568,9641,4069.6,-208.91
1789,19996,9086.7,3376.8,-203.19
1790,20001,9075.2,3506.6,-227.55
1791,19997,9080.8,3244.7,-187.57
1791,21560,9644.6,4330.7,-203.92
1792,19993,9073.8,2054.1,-200.44
1793,19988,9074.4,2842.4,-207.35
1794,19992,9065.7,3092.2,-196.13
1795,19999,9069.6,2205.4,-207.66
1991,24548,11309,4679.4,-182.96
1992,24533,11299,1939.2,-168.92
1993,24550,11295,1161.4,-167.94
1994,24528,11304,1291.5,-187.65
1995,24535,11306,3700,-177.1
1996,24533,11305,4378.9,-209.91
1997,24539,11301,2045.4,-200.97
1999,24548,11309,2421.5,-204.82
2000,24526,11303,2577.7,-202.91
2001,24540,11307,1276.5,-181.52
2073,20557,14894,1217.3,-204.89
2074,20559,14906,1984.2,-200.98
2077,20551,14898,1081.1,-202.44
2102,20950,9619.1,5749.1,-220.98
2107,19289,14019,3538.3,-190.64
2107,19283,14003,3651,-218.26
2108,19367,14009,3211.5,-194.78
2109,19297,14034,2333.8,-209.69
2110,19286,14010,2962,-191.33
2112,19314,13982,4039.4,-187.04
2113,19298,13973,2948.2,-189.12
2114,19286,13990,2246.1,-208.41
2115,19283,13989,3156.2,-180.06
2117,19276,14000,3067,-181.39
2118,19246,13977,3546,-184.95
2119,19281,13994,3840.8,-190.06
2120,19280,14026,3407.3,-197.78
2121,19264,13989,3919.7,-190.4
2122,19267,13998,2799.7,-200.49
2123,19283,14007,3184.8,-201.47
2124,23908,11530,3119.7,-183.89
2125,23914,11526,2751,-205.46
2126,19242,13996,3455.9,-191.34
2126,23908,11519,2808.1,-196.23
2127,19303,13974,1488.8,-191.36
2127,23910,11536,1798.3,-187.43
2128,19239,14009,2591.5,-181.13
2128,23900,11537,3378.9,-194.47
2129,19250,14009,2934.9,-218.28
2129,23910,11535,3452.7,-185.99
2130,23912,11528,2519.4,-168.17
2131,19275,13976,2718.9,-205.43
2131,23907,11542,3681.9,-195.18
2132,19277,14050,2820.5,-185.41
2132,23903,11538,3563.4,-207.41
2133,19305,13965,3211.9,-222.38
2133,23907,11530,3182.3,-209.06
2134,19289,13966,2497.5,-235.01
2135,23914,11535,3001.3,-154.99
2265,22926,8402.8,2514,-221.16
2266,22933,8430.2,4428.3,-233.39
2268,22925,8426,4593.7,-230.97
2269,22926,8419.6,4284.4,-214.92
2270,22940,8422.9,4815.3,-248.79
2271,22936,8434.7,2423.7,-201.68
2272,22937,8411.8,3683,-213.09
2273,22937,8416.7,3981.4,-234.88
2274,22942,8422.3,4382,-231.17
2275,22947,8440.9,1385.2,-214.74
2276,22946,8418.5,4033,-243.26
2278,22940,8442.9,2979.5,-213.03
