,x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood,sigma [nm],dx,dy
0,2825.9803531183775,8836.130494326573,0,100,7.2445,1171.6,32.82,62.431000000000004,139.05,4.419646881622514,-2.330494326573702
1,4803.080353118377,74923.33049432657,0,100,10.544,684.88,27.035,63.397,140.67,4.419646881622514,-2.330494326573702
2,9092.180353118378,70719.33049432657,0,100,10.745999999999999,580.22,27.684,45.501000000000005,127.4,4.419646881622514,-2.330494326573702
3,11304.580353118377,51613.330494326576,0,100,7.0312,1036.3,34.148,93.46600000000001,124.94,4.419646881622514,-2.330494326573702
4,14113.580353118377,25850.330494326572,0,100,8.8757,845.02,30.994,94.134,133.21,4.419646881622514,-2.330494326573702
5,17023.580353118377,9610.930494326574,0,100,9.1053,777.09,31.022,53.498000000000005,130.97,4.419646881622514,-2.330494326573702
6,17853.580353118377,47991.330494326576,0,100,4.0975,2503.3,41.876999999999995,122.53,131.19,4.419646881622514,-2.330494326573702
7,19232.580353118377,71871.33049432657,0,100,8.4976,776.59,33.144,97.95700000000001,121.82,4.419646881622514,-2.330494326573702
8,19378.580353118377,15666.330494326574,0,100,8.054,805.95,29.909000000000002,69.39,122.92,4.419646881622514,-2.330494326573702
9,19652.580353118377,61979.330494326576,0,100,10.99,546.08,33.549,47.416000000000004,118.4,4.419646881622514,-2.330494326573702
10,20285.580353118377,81721.33049432657,0,100,9.1488,643.27,34.393,90.897,113.99,4.419646881622514,-2.330494326573702
11,20618.580353118377,12911.330494326574,0,100,10.177999999999999,786.8,30.903000000000002,57.765,141.9,4.419646881622514,-2.330494326573702
12,21318.580353118377,43359.330494326576,0,100,7.5827,929.4,30.915,80.25,126.91,4.419646881622514,-2.330494326573702
13,22035.580353118377,18325.330494326572,0,100,6.164,1593.3,33.015,75.969,148.11,4.419646881622514,-2.330494326573702
14,24900.580353118377,81833.33049432657,0,100,8.3647,955.5,38.782,148.43,132.21,4.419646881622514,-2.330494326573702
15,25533.580353118377,80100.33049432657,0,100,9.1605,776.29,30.926,63.809,131.18,4.419646881622514,-2.330494326573702
16,26963.580353118377,51902.330494326576,0,100,8.8939,903.25,31.01,13.298,139.0,4.419646881622514,-2.330494326573702
17,26963.580353118377,51904.330494326576,0,100,8.7676,930.19,30.272,5.3687,140.87,4.419646881622514,-2.330494326573702
18,35273.58035311838,18705.330494326572,0,100,9.4437,805.06,29.308000000000003,43.141000000000005,140.42,4.419646881622514,-2.330494326573702
19,35971.58035311838,4050.830494326574,0,100,9.8252,545.34,31.209,89.17200000000001,111.21,4.419646881622514,-2.330494326573702
20,36762.58035311838,16519.330494326572,0,100,3.9755,2354.5,47.052,189.39,120.78,4.419646881622514,-2.330494326573702
21,37005.58035311838,55721.330494326576,0,100,5.1672,1617.1,43.036,117.08,122.03,4.419646881622514,-2.330494326573702
22,38868.58035311838,37723.330494326576,0,100,9.9783,935.67,36.325,80.007,151.36,4.419646881622514,-2.330494326573702
23,40414.58035311838,66576.33049432657,0,100,9.0976,733.88,31.506999999999998,60.55,126.48,4.419646881622514,-2.330494326573702
24,40630.58035311838,78632.33049432657,0,100,6.812,1128.0,33.282,72.148,128.79,4.419646881622514,-2.330494326573702
25,45317.58035311838,768.4404943265737,0,100,11.071,525.57,32.766,62.693000000000005,117.95,4.419646881622514,-2.330494326573702
26,54278.58035311838,60545.330494326576,0,100,3.2542,3559.6,41.513999999999996,158.59,131.57,4.419646881622514,-2.330494326573702
27,55059.58035311838,21433.330494326572,0,100,6.9477,1012.2,34.211,97.12,120.35,4.419646881622514,-2.330494326573702
28,56890.58035311838,31517.330494326572,0,100,8.632,863.05,34.68,66.781,131.77,4.419646881622514,-2.330494326573702
29,61429.58035311838,53478.330494326576,0,100,9.881,746.65,31.711,35.874,136.61,4.419646881622514,-2.330494326573702
30,63919.58035311838,76691.33049432657,0,100,8.8144,756.45,31.604,60.996,125.47,4.419646881622514,-2.330494326573702
31,64905.58035311838,78372.33049432657,0,100,11.309000000000001,575.14,30.794,65.66,128.74,4.419646881622514,-2.330494326573702
32,67146.58035311838,70753.33049432657,0,100,7.2484,825.63,35.967,138.29,109.96,4.419646881622514,-2.330494326573702
33,69373.58035311838,68682.33049432657,0,100,9.1221,863.62,32.72,87.764,133.01,4.419646881622514,-2.330494326573702
34,74591.58035311838,64208.330494326576,0,100,10.023,824.07,31.136,65.923,143.43,4.419646881622514,-2.330494326573702
35,74732.58035311838,71503.33049432657,0,100,6.9569,1303.3,34.26,63.641999999999996,140.94,4.419646881622514,-2.330494326573702
36,76343.58035311838,57990.330494326576,0,100,8.4069,805.62,35.21,55.331,120.6,4.419646881622514,-2.330494326573702
37,76528.58035311838,5719.330494326574,0,100,2.9829,4367.4,43.155,116.71,138.76,4.419646881622514,-2.330494326573702
38,79926.58035311838,85056.33049432657,0,100,9.603,720.99,30.433000000000003,57.353,130.06,4.419646881622514,-2.330494326573702
39,80598.58035311838,34244.330494326576,0,100,6.2381,1432.0,36.353,78.22800000000001,136.02,4.419646881622514,-2.330494326573702
40,81085.58035311838,75848.33049432657,0,100,10.198,671.52,32.358000000000004,65.023,129.59,4.419646881622514,-2.330494326573702
41,82449.58035311838,63738.330494326576,0,100,7.4421,924.43,32.133,47.223,119.27,4.419646881622514,-2.330494326573702
42,2825.7434519037915,8830.630620014488,0,101,7.1127,1225.8,32.241,78.521,141.4,4.356548096208553,-2.3306200144892295
43,4912.443451903791,51594.33062001449,0,101,12.036,452.43,32.215,80.527,113.3,4.356548096208553,-2.3306200144892295
44,4806.2434519037915,74937.33062001449,0,101,7.4849,1100.4,31.754,74.957,139.1,4.356548096208553,-2.3306200144892295
45,11321.643451903792,51599.33062001449,0,101,6.3709,968.15,33.113,132.89,111.04,4.356548096208553,-2.3306200144892295
46,14098.643451903792,25865.33062001449,0,101,10.870999999999999,727.32,29.76,64.44800000000001,143.99,4.356548096208553,-2.3306200144892295
47,17020.64345190379,9626.630620014488,0,101,7.1907,890.71,33.766,108.96,115.57,4.356548096208553,-2.3306200144892295
48,17857.64345190379,48001.33062001449,0,101,4.7752,2114.7,40.82,93.25299999999999,135.47,4.356548096208553,-2.3306200144892295
49,19237.64345190379,71873.33062001449,0,101,10.77,645.2,30.791,73.256,132.91,4.356548096208553,-2.3306200144892295
50,19359.64345190379,15653.330620014489,0,101,8.3877,822.89,30.958000000000002,80.305,127.96,4.356548096208553,-2.3306200144892295
51,20281.64345190379,81726.33062001449,0,101,10.475999999999999,698.45,28.891,41.757,139.15,4.356548096208553,-2.3306200144892295
52,20620.64345190379,12914.330620014489,0,101,8.304,924.38,32.219,60.937,132.13,4.356548096208553,-2.3306200144892295
53,21311.64345190379,43379.33062001449,0,101,7.1766,978.71,34.281,104.82,122.68,4.356548096208553,-2.3306200144892295
54,22041.64345190379,18328.33062001449,0,101,5.7686,1719.0,39.868,79.971,141.43,4.356548096208553,-2.3306200144892295
55,24909.64345190379,81873.33062001449,0,101,8.1359,870.25,39.975,101.49,121.0,4.356548096208553,-2.3306200144892295
56,25067.64345190379,81416.33062001449,0,101,10.345,1087.4,27.489,117.62,179.85,4.356548096208553,-2.3306200144892295
57,25529.64345190379,80078.33062001449,0,101,10.207,591.53,33.692,91.713,118.23,4.356548096208553,-2.3306200144892295
58,26958.64345190379,51902.33062001449,0,101,9.042,840.47,36.71,113.58,129.79,4.356548096208553,-2.3306200144892295
59,35288.643451903794,18706.33062001449,0,101,7.2838,1039.4,31.439,70.785,131.35,4.356548096208553,-2.3306200144892295
60,36761.643451903794,16519.33062001449,0,101,3.5858,2920.6,42.997,155.16,127.69,4.356548096208553,-2.3306200144892295
61,37006.643451903794,55721.33062001449,0,101,5.1035,1740.1,40.47,101.78,127.92,4.356548096208553,-2.3306200144892295
62,38104.643451903794,609.6806200144893,0,101,9.6109,617.5,31.496,71.133,117.43,4.356548096208553,-2.3306200144892295
63,38882.643451903794,37737.33062001449,0,101,7.7142,1453.6,38.367,65.214,160.44,4.356548096208553,-2.3306200144892295
64,40634.643451903794,78640.33062001449,0,101,6.4085,1250.9,33.172,53.729,130.58,4.356548096208553,-2.3306200144892295
65,45322.643451903794,752.6406200144892,0,101,6.7349,1223.8,30.975,60.504,136.54,4.356548096208553,-2.3306200144892295
66,46595.643451903794,71767.33062001449,0,101,9.6385,896.04,28.833000000000002,41.982,152.31,4.356548096208553,-2.3306200144892295
67,47036.643451903794,38665.33062001449,0,101,9.1308,623.58,33.04,90.353,112.49,4.356548096208553,-2.3306200144892295
68,54282.643451903794,60542.33062001449,0,101,3.7855,2826.6,42.103,154.91,131.13,4.356548096208553,-2.3306200144892295
69,55052.643451903794,21445.33062001449,0,101,6.8119,1173.3,31.944000000000003,79.97800000000001,132.14,4.356548096208553,-2.3306200144892295
70,56864.643451903794,31505.33062001449,0,101,7.4584,979.72,35.8,101.48,125.67,4.356548096208553,-2.3306200144892295
71,61435.643451903794,53477.33062001449,0,101,8.9766,702.17,32.963,85.446,120.44,4.356548096208553,-2.3306200144892295
72,63929.643451903794,76674.33062001449,0,101,11.309000000000001,532.11,32.328,102.49,121.43,4.356548096208553,-2.3306200144892295
73,64955.643451903794,78380.33062001449,0,101,10.909,727.79,30.039,66.337,145.55,4.356548096208553,-2.3306200144892295
74,66205.64345190379,79167.33062001449,0,101,12.405999999999999,438.45,33.274,52.701,113.08,4.356548096208553,-2.3306200144892295
75,67134.64345190379,70758.33062001449,0,101,6.9589,946.7,31.383000000000003,87.604,119.07,4.356548096208553,-2.3306200144892295
76,67613.64345190379,76311.33062001449,0,101,12.029000000000002,582.35,28.38,67.876,139.44,4.356548096208553,-2.3306200144892295
77,69396.64345190379,68706.33062001449,0,101,12.196,595.98,31.340999999999998,49.76,132.3,4.356548096208553,-2.3306200144892295
78,73862.64345190379,35481.33062001449,0,101,10.604000000000001,524.28,33.614000000000004,70.885,113.02,4.356548096208553,-2.3306200144892295
79,74727.64345190379,71491.33062001449,0,101,8.0529,911.49,33.368,70.971,127.11,4.356548096208553,-2.3306200144892295
80,76286.64345190379,63615.33062001449,0,101,7.0358,1172.7,32.455999999999996,57.233000000000004,137.11,4.356548096208553,-2.3306200144892295
81,76353.64345190379,57985.33062001449,0,101,7.8544,970.92,32.674,55.659,130.44,4.356548096208553,-2.3306200144892295
82,76523.64345190379,5720.330620014489,0,101,2.7848,5009.4,46.335,108.63,140.13,4.356548096208553,-2.3306200144892295
83,78736.64345190379,59766.33062001449,0,101,10.945,632.84,31.639,47.342,133.33,4.356548096208553,-2.3306200144892295
84,79937.64345190379,85061.33062001449,0,101,12.040999999999999,538.75,28.48,56.547,131.06,4.356548096208553,-2.3306200144892295
85,80591.64345190379,34236.33062001449,0,101,6.1208,1455.4,34.853,81.827,136.42,4.356548096208553,-2.3306200144892295
86,81110.64345190379,75872.33062001449,0,101,10.388,848.55,28.186,70.935,157.32,4.356548096208553,-2.3306200144892295
87,82450.64345190379,63745.33062001449,0,101,7.79,846.8,31.337,76.68,117.47,4.356548096208553,-2.3306200144892295
88,2823.406242704142,8830.930816314149,0,102,5.5779,1670.1,37.012,62.727,136.19,4.293757295857657,-2.3308163141477194
89,4795.606242704142,74949.33081631415,0,102,7.9225,900.18,31.048000000000002,81.02,128.93,4.293757295857657,-2.3308163141477194
90,11317.706242704142,51624.33081631415,0,102,5.5744,1371.9,39.613,116.09,119.12,4.293757295857657,-2.3308163141477194
91,14107.706242704142,25870.33081631415,0,102,10.158999999999999,586.36,33.354,123.79,116.11,4.293757295857657,-2.3308163141477194
92,16072.706242704142,23486.33081631415,0,102,7.4715,927.16,36.799,88.484,118.49,4.293757295857657,-2.3308163141477194
93,16767.706242704142,28902.33081631415,0,102,11.387,550.78,31.51,83.21600000000001,124.81,4.293757295857657,-2.3308163141477194
94,16988.706242704142,9614.730816314148,0,102,9.1539,815.65,30.98,88.61,135.72,4.293757295857657,-2.3308163141477194
95,17859.706242704142,47990.33081631415,0,102,4.5308,2045.0,42.162,134.1,125.94,4.293757295857657,-2.3308163141477194
96,19383.706242704142,15652.330816314148,0,102,7.7439,872.28,30.041999999999998,86.33,125.05,4.293757295857657,-2.3308163141477194
97,19665.706242704142,62000.33081631415,0,102,11.520999999999999,457.63,31.561,61.255,111.51,4.293757295857657,-2.3308163141477194
98,20626.706242704142,12918.330816314148,0,102,8.3731,905.15,32.195,60.593999999999994,131.24,4.293757295857657,-2.3308163141477194
99,21324.706242704142,43362.33081631415,0,102,8.1721,967.45,30.964000000000002,70.809,138.22,4.293757295857657,-2.3308163141477194
100,22028.706242704142,18338.33081631415,0,102,6.4896,1479.1,33.111999999999995,62.188,147.77,4.293757295857657,-2.3308163141477194
101,24926.706242704142,81880.33081631415,0,102,10.764000000000001,490.27,32.91,82.735,108.98,4.293757295857657,-2.3308163141477194
102,25541.706242704142,80077.33081631415,0,102,9.3338,710.79,30.0,58.29,127.07,4.293757295857657,-2.3308163141477194
103,26956.706242704142,51919.33081631415,0,102,8.0638,1045.0,34.603,67.226,137.92,4.293757295857657,-2.3308163141477194
104,36764.706242704146,16522.33081631415,0,102,4.0443,2463.5,40.368,72.852,129.26,4.293757295857657,-2.3308163141477194
105,36988.706242704146,55716.33081631415,0,102,5.7824,1404.7,39.443000000000005,110.26,124.94,4.293757295857657,-2.3308163141477194
106,38077.706242704146,553.1808163141477,0,102,9.7831,624.1,31.774,75.97,118.86,4.293757295857657,-2.3308163141477194
107,38861.706242704146,37745.33081631415,0,102,8.1924,1418.6,35.654,86.649,167.89,4.293757295857657,-2.3308163141477194
108,40621.706242704146,78638.33081631415,0,102,7.4733,1020.8,31.866999999999997,66.811,131.8,4.293757295857657,-2.3308163141477194
109,41201.706242704146,42092.33081631415,0,102,10.142999999999999,563.99,34.552,76.676,114.05,4.293757295857657,-2.3308163141477194
