,x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood,sigma [nm],dx [nm],dy [nm]
53,11813.683037252253,21704.076504364602,0,104,2.9555,7843.1,167.06,409.93,156.96,0.31696274774731137,-0.07650436460426135
54,18538.683037252253,31060.076504364602,0,104,5.9189,2920.2,133.32,115.26,154.32,0.31696274774731137,-0.07650436460426135
55,19242.683037252253,48162.0765043646,0,104,6.7738,2700.8,128.59,267.31,165.55,0.31696274774731137,-0.07650436460426135
56,23916.683037252253,7843.976504364604,0,104,5.2063,3392.6,140.65,140.04,151.89,0.31696274774731137,-0.07650436460426135
57,24812.683037252253,32289.076504364602,0,104,6.3962,2664.4,134.38,115.52,154.82,0.31696274774731137,-0.07650436460426135
58,27348.683037252253,664.0665043646043,0,104,5.5483,2332.1,134.88,141.24,127.06,0.31696274774731137,-0.07650436460426135
59,33407.68303725225,36005.0765043646,0,104,5.4842,2733.9,120.98,149.55,143.2,0.31696274774731137,-0.07650436460426135
60,44731.68303725225,11675.076504364604,0,104,4.2629,3092.2,123.41,215.59,125.89,0.31696274774731137,-0.07650436460426135
61,48523.68303725225,14977.076504364604,0,104,7.0002,1834.4,118.76,90.766,134.88,0.31696274774731137,-0.07650436460426135
62,5484.204169614108,23624.09530193433,0,105,5.855,2862.4,138.11,122.54,150.66,0.39583038589262287,-0.09530193432874512
63,11810.604169614107,21705.09530193433,0,105,3.2624,6828.1,162.74,375.74,157.2,0.39583038589262287,-0.09530193432874512
64,20796.604169614107,42416.09530193433,0,105,7.1214,2394.4,151.33,170.79,152.52,0.39583038589262287,-0.09530193432874512
65,23923.604169614107,7848.695301934329,0,105,5.6147,2865.5,140.91,205.3,144.7,0.39583038589262287,-0.09530193432874512
66,27338.604169614107,671.5453019343288,0,105,5.3901,2720.8,129.58,76.17699999999999,138.62,0.39583038589262287,-0.09530193432874512
67,33445.604169614104,2464.395301934329,0,105,7.0885,1941.9,128.99,58.673,137.67,0.39583038589262287,-0.09530193432874512
68,33397.604169614104,36009.09530193433,0,105,5.6348,3015.9,125.37,117.51,153.16,0.39583038589262287,-0.09530193432874512
69,44727.604169614104,11683.095301934329,0,105,5.4243,2497.6,121.44,107.09,133.99,0.39583038589262287,-0.09530193432874512
70,5494.225450848876,23597.11396855043,0,106,4.9122,4028.9,135.95,134.78,163.13,0.4745491511239379,-0.11396855042949028
71,10559.525450848876,1110.9139685504294,0,106,6.0217,3026.6,124.35,111.48,160.5,0.4745491511239379,-0.11396855042949028
72,11804.525450848876,21713.11396855043,0,106,3.0077,7692.5,169.74,489.39,157.05,0.4745491511239379,-0.11396855042949028
73,18538.525450848876,31072.11396855043,0,106,7.0409,2465.2,120.54,110.42,161.16,0.4745491511239379,-0.11396855042949028
74,23924.525450848876,7852.6139685504295,0,106,4.8832,3765.4,141.13,178.89,154.01,0.4745491511239379,-0.11396855042949028
75,27344.525450848876,676.9239685504294,0,106,5.7795,2508.3,124.52,60.232,140.35,0.4745491511239379,-0.11396855042949028
76,33907.52545084887,27179.11396855043,0,106,4.8863,4249.4,113.95,176.23,173.26,0.4745491511239379,-0.11396855042949028
77,44740.52545084887,11675.11396855043,0,106,5.5149,2238.0,123.65,160.35,125.88,0.4745491511239379,-0.11396855042949028
78,5464.546880783242,23599.13250444038,0,107,5.2577,3685.1,137.15,142.93,161.92,0.5531192167582049,-0.1325044403783977
79,10561.446880783242,1086.2325044403783,0,107,5.8288,2874.4,126.33,115.49,149.57,0.5531192167582049,-0.1325044403783977
80,11575.446880783242,22890.13250444038,0,107,8.7097,1724.1,149.31,115.38,143.69,0.5531192167582049,-0.1325044403783977
81,11806.446880783242,21709.13250444038,0,107,3.4486,6277.5,158.43,362.7,157.07,0.5531192167582049,-0.1325044403783977
82,18543.44688078324,31058.13250444038,0,107,5.4074,3228.5,129.14,125.27,154.0,0.5531192167582049,-0.1325044403783977
83,23916.44688078324,7851.132504440378,0,107,5.2571,3474.2,148.77,163.26,153.18,0.5531192167582049,-0.1325044403783977
84,27340.44688078324,658.6425044403784,0,107,5.4796,2779.2,122.25,106.1,144.47,0.5531192167582049,-0.1325044403783977
85,33462.446880783245,2481.1325044403784,0,107,6.0835,2121.5,123.06,127.11,130.98,0.5531192167582049,-0.1325044403783977
86,33887.446880783245,27199.13250444038,0,107,3.4421,5328.9,158.49,401.71,141.38,0.5531192167582049,-0.1325044403783977
87,44735.446880783245,11683.132504440378,0,107,5.4969,2512.8,116.3,105.4,137.37,0.5531192167582049,-0.1325044403783977
88,48511.446880783245,14987.132504440378,0,107,3.6258,4398.3,142.5,179.79,133.6,0.5531192167582049,-0.1325044403783977
89,11804.368459243913,21710.15090983164,0,108,3.2621,6793.5,160.01,340.47,157.36,0.6315407560869062,-0.1509098316400923
90,18527.368459243913,31072.15090983164,0,108,4.8667,3634.3,137.82,171.17,150.67,0.6315407560869062,-0.1509098316400923
91,23929.368459243913,7814.85090983164,0,108,4.1536,4363.9,142.54,233.94,148.37,0.6315407560869062,-0.1509098316400923
92,27354.368459243913,678.2909098316401,0,108,5.9048,2294.8,129.59,96.311,133.4,0.6315407560869062,-0.1509098316400923
93,33406.36845924391,36002.15090983164,0,108,4.0822,4483.2,136.07,185.29,149.72,0.6315407560869062,-0.1509098316400923
94,37497.36845924391,5161.35090983164,0,108,4.6028,3493.1,119.85,83.156,145.98,0.6315407560869062,-0.1509098316400923
95,44731.36845924391,11681.15090983164,0,108,5.1118,2632.7,116.99,98.12,133.33,0.6315407560869062,-0.1509098316400923
96,45492.36845924391,24947.15090983164,0,108,6.4582,2393.5,125.44,91.801,148.17,0.6315407560869062,-0.1509098316400923
97,48516.36845924391,14995.15090983164,0,108,6.4431,2134.4,115.3,76.063,140.59,0.6315407560869062,-0.1509098316400923
98,5492.290186057573,23617.169184951686,0,109,4.7330000000000005,3869.2,151.15,188.64,151.1,0.7098139424269903,-0.16918495168465597
99,10564.290186057573,1082.2691849516846,0,109,6.859,2126.5,127.56,62.599,139.97,0.7098139424269903,-0.16918495168465597
100,11821.290186057573,21708.169184951686,0,109,5.8135,3321.4,133.59,175.52,165.37,0.7098139424269903,-0.16918495168465597
101,18530.290186057573,31064.169184951686,0,109,5.2698,3524.4,139.68,142.2,156.46,0.7098139424269903,-0.16918495168465597
102,23919.290186057573,7805.969184951685,0,109,3.4,5586.0,138.54,227.04,147.77,0.7098139424269903,-0.16918495168465597
103,27348.290186057573,677.5291849516847,0,109,4.941,3146.5,134.11,95.561,140.77,0.7098139424269903,-0.16918495168465597
104,33408.29018605757,35993.16918495169,0,109,5.5608,2976.9,118.2,120.95,153.84,0.7098139424269903,-0.16918495168465597
105,33452.29018605757,2489.0691849516847,0,109,5.176,2505.1,130.21,98.71799999999999,126.65,0.7098139424269903,-0.16918495168465597
106,44731.29018605757,11696.169184951685,0,109,4.0942,3862.6,123.5,92.59200000000001,140.36,0.7098139424269903,-0.16918495168465597
107,45494.29018605757,24949.169184951686,0,109,6.1322,2164.8,124.93,115.82,133.34,0.7098139424269903,-0.16918495168465597
108,48502.29018605757,14985.169184951685,0,109,7.1855,1822.3,120.34,104.28,136.68,0.7098139424269903,-0.16918495168465597
109,5448.912061050908,23630.18733002799,0,110,5.0787,3622.9,142.17,180.3,154.93,0.7879389490917674,-0.18733002798944653
110,11818.212061050908,21723.18733002799,0,110,5.1259,3935.3,129.23,195.24,167.48,0.7879389490917674,-0.18733002798944653
111,18528.21206105091,31077.18733002799,0,110,4.7363,3849.8,142.65,195.35,152.07,0.7879389490917674,-0.18733002798944653
112,23926.21206105091,7808.28733002799,0,110,4.1528,4653.0,130.82,161.28,157.32,0.7879389490917674,-0.18733002798944653
113,27354.21206105091,665.8673300279894,0,110,5.1622,3098.9,125.24,70.873,146.78,0.7879389490917674,-0.18733002798944653
114,33449.21206105091,2495.4873300279896,0,110,3.5736,4653.0,134.63,212.1,137.91,0.7879389490917674,-0.18733002798944653
115,44729.21206105091,11696.18733002799,0,110,5.7803,2461.0,114.8,140.55,141.5,0.7879389490917674,-0.18733002798944653
116,45499.21206105091,24958.18733002799,0,110,5.4368,2752.5,127.27,107.94,140.98,0.7879389490917674,-0.18733002798944653
117,48518.21206105091,15013.18733002799,0,110,6.1770000000000005,2029.9,120.35,84.833,130.18,0.7879389490917674,-0.18733002798944653
118,5456.6340840506455,23626.205345288025,0,111,3.7336,5252.1,150.56,243.69,151.16,0.8659159493545303,-0.20534528802454588
119,11823.134084050645,21711.205345288025,0,111,2.8526,7873.7,160.6,483.04,153.5,0.8659159493545303,-0.20534528802454588
120,18534.134084050645,31062.205345288025,0,111,5.9182,2862.8,124.72,115.41,154.21,0.8659159493545303,-0.20534528802454588
121,23927.134084050645,7818.505345288025,0,111,4.0952,4085.1,143.27,241.94,140.48,0.8659159493545303,-0.20534528802454588
122,27341.134084050645,693.3853452880245,0,111,5.6219,2796.9,132.61,83.677,144.66,0.8659159493545303,-0.20534528802454588
123,33390.134084050645,36004.20534528802,0,111,5.6263,3059.3,120.76,132.98,157.2,0.8659159493545303,-0.20534528802454588
124,33452.134084050645,2485.7053452880245,0,111,5.6814,2676.4,125.1,105.37,143.71,0.8659159493545303,-0.20534528802454588
125,33876.134084050645,27190.205345288025,0,111,2.9130000000000003,6928.0,159.18,360.24,144.77,0.8659159493545303,-0.20534528802454588
126,44718.134084050645,11714.205345288025,0,111,3.6783,4345.9,122.14,171.88,138.51,0.8659159493545303,-0.20534528802454588
127,5480.456254883453,23620.22323095926,0,112,6.2554,2764.0,135.27,156.19,155.81,0.9437451165467792,-0.2232309592563979
128,11824.056254883453,21702.22323095926,0,112,2.9377,8179.3,161.53,438.76,161.05,0.9437451165467792,-0.2232309592563979
129,18538.056254883453,31076.22323095926,0,112,4.4719,4087.2,149.24,175.65,148.77,0.9437451165467792,-0.2232309592563979
130,24162.056254883453,28430.22323095926,0,112,6.8789,3018.8,122.85,152.73,179.5,0.9437451165467792,-0.2232309592563979
131,27348.056254883453,673.5432309592564,0,112,4.6222,3311.4,131.81,118.2,138.39,0.9437451165467792,-0.2232309592563979
132,33398.05625488346,36016.22323095926,0,112,6.6268,2201.1,135.07,113.44,140.55,0.9437451165467792,-0.2232309592563979
133,44733.05625488346,11693.223230959256,0,112,5.4847,2194.0,115.58,154.06,125.75,0.9437451165467792,-0.2232309592563979
134,5483.678573376025,23628.24098726916,0,113,4.4178,4354.3,153.86,223.76,153.61,1.0214266239745484,-0.24098726916054147
135,11805.978573376025,21731.24098726916,0,113,4.7576,3514.9,150.03,217.11,141.79,1.0214266239745484,-0.24098726916054147
136,18541.978573376025,31068.24098726916,0,113,4.2968,4293.3,133.22,159.13,153.03,1.0214266239745484,-0.24098726916054147
137,23924.978573376025,7820.7409872691605,0,113,4.9031,3403.6,129.82,141.78,147.86,1.0214266239745484,-0.24098726916054147
138,27355.978573376025,664.3309872691606,0,113,4.7166,3458.4,125.66,92.773,146.28,1.0214266239745484,-0.24098726916054147
139,33400.97857337602,36074.240987269164,0,113,7.0984,2021.8,129.57,90.78399999999999,142.05,1.0214266239745484,-0.24098726916054147
140,44735.97857337602,11690.24098726916,0,113,5.0716,2609.0,117.9,129.73,131.41,1.0214266239745484,-0.24098726916054147
141,5475.001039355078,23647.258614445203,0,114,6.3669,2588.0,134.61,162.29,151.76,1.0989606449220446,-0.2586144452034205
142,11819.901039355078,21713.258614445203,0,114,3.4159,5943.8,145.34,278.77,152.99,1.0989606449220446,-0.2586144452034205
143,18540.901039355078,31060.258614445203,0,114,5.9807,3008.4,121.5,108.97,161.26,1.0989606449220446,-0.2586144452034205
144,23932.901039355078,7803.558614445204,0,114,3.8471,4851.0,139.03,248.56,150.02,1.0989606449220446,-0.2586144452034205
145,27349.901039355078,670.9186144452034,0,114,6.4374,2186.7,126.82,84.991,139.18,1.0989606449220446,-0.2586144452034205
146,33457.90103935508,2503.8586144452033,0,114,5.569,2359.7,124.08,109.37,130.77,1.0989606449220446,-0.2586144452034205
147,33413.90103935508,35982.25861444521,0,114,2.5617,8322.4,147.42,396.76,147.04,1.0989606449220446,-0.2586144452034205
148,33888.90103935508,27183.258614445203,0,114,3.7406,5307.1,132.86,115.37,155.58,1.0989606449220446,-0.2586144452034205
149,44746.90103935508,11684.258614445203,0,114,3.2859,4812.4,123.28,157.98,134.07,1.0989606449220446,-0.2586144452034205
150,45499.90103935508,24944.258614445203,0,114,8.2554,1388.4,129.43,77.82,124.38,1.0989606449220446,-0.2586144452034205
151,48517.90103935508,14992.258614445203,0,114,5.2614,2626.9,118.52,106.66,135.88,1.0989606449220446,-0.2586144452034205
152,5512.023652647275,23625.276112714862,0,115,5.2206,3362.6,141.97,201.59,151.71,1.176347352724406,-0.27611271486057376
153,11828.823652647276,21717.276112714862,0,115,4.4163,4503.8,123.19,209.81,164.21,1.176347352724406,-0.27611271486057376
154,18538.823652647276,31079.276112714862,0,115,4.9218,3836.3,129.78,138.1,159.98,1.176347352724406,-0.27611271486057376
155,23929.823652647276,7805.776112714861,0,115,4.3473,4457.9,136.34,210.02,157.65,1.176347352724406,-0.27611271486057376
156,27349.823652647276,675.9461127148605,0,115,6.4088,2000.7,129.22,98.415,130.24,1.176347352724406,-0.27611271486057376
157,33441.823652647276,2490.0761127148608,0,115,4.4807,3760.0,120.31,77.054,148.9,1.176347352724406,-0.27611271486057376
158,33410.823652647276,35999.27611271486,0,115,2.8575,7188.3,149.65,349.97,146.76,1.176347352724406,-0.27611271486057376
159,44741.823652647276,11674.27611271486,0,115,4.3702,3308.0,120.52,135.94,134.9,1.176347352724406,-0.27611271486057376
160,48512.823652647276,14983.27611271486,0,115,4.8994,2668.8,124.02,132.16,128.17,1.176347352724406,-0.27611271486057376
161,5483.546413079349,23639.293482305602,0,116,5.2453,3016.7,138.59,176.42,142.79,1.253586920651287,-0.2934823056020832
162,11822.746413079349,21712.293482305602,0,116,3.5698,5849.5,130.36,310.04,160.46,1.253586920651287,-0.2934823056020832
163,18546.74641307935,31092.293482305602,0,116,6.2465,2598.0,130.51,108.11,150.75,1.253586920651287,-0.2934823056020832
164,23933.74641307935,7797.393482305602,0,116,3.577,5135.7,133.63,163.04,147.71,1.253586920651287,-0.2934823056020832
165,27353.74641307935,692.3934823056021,0,116,5.7831,2291.3,130.36,100.05,130.84,1.253586920651287,-0.2934823056020832
166,33450.74641307935,2481.693482305602,0,116,6.0038,2389.8,119.18,94.014,141.18,1.253586920651287,-0.2934823056020832
167,33413.74641307935,36000.2934823056,0,116,2.8804,6726.2,139.97,270.1,143.72,1.253586920651287,-0.2934823056020832
168,44744.74641307935,11685.293482305602,0,116,5.7143,2284.1,120.34,111.49,132.07,1.253586920651287,-0.2934823056020832
169,45500.74641307935,24970.293482305602,0,116,6.5685,2420.2,115.01,72.09100000000001,154.35,1.253586920651287,-0.2934823056020832
170,48521.74641307935,14992.293482305602,0,116,5.3628,2445.9,120.1,99.463,131.32,1.253586920651287,-0.2934823056020832
171,5474.369320477955,23648.310723444894,0,117,4.7262,3641.0,128.09,134.83,150.95,1.3306795220451022,-0.31072344489439274
172,11840.669320477955,21714.310723444894,0,117,3.3949,6184.7,144.58,223.84,156.53,1.3306795220451022,-0.31072344489439274
173,23932.669320477955,7812.910723444895,0,117,3.8954,5249.1,131.71,205.21,160.85,1.3306795220451022,-0.31072344489439274
174,27354.669320477955,672.0907234448944,0,117,5.1984,2480.8,129.08,130.31,126.89,1.3306795220451022,-0.31072344489439274
175,33414.66932047796,35997.3107234449,0,117,2.6985,7297.8,146.61,300.54,141.76,1.3306795220451022,-0.31072344489439274
176,44734.66932047796,11695.310723444894,0,117,3.8783,3564.3,123.24,196.29,127.44,1.3306795220451022,-0.31072344489439274
177,45503.66932047796,24953.310723444894,0,117,6.1689,2208.8,120.12,77.442,137.04,1.3306795220451022,-0.31072344489439274
178,48527.66932047796,15007.310723444894,0,117,7.5258,1645.8,122.08,98.014,131.99,1.3306795220451022,-0.31072344489439274
179,5491.192374669825,23638.327836360215,0,118,4.5497,3894.1,145.62,150.04,148.43,1.407625330175506,-0.32783636021667917
180,11831.592374669824,21714.327836360215,0,118,2.8782,7309.1,153.07,304.12,149.24,1.407625330175506,-0.32783636021667917
181,18553.592374669824,31083.327836360215,0,118,5.8058,2557.0,133.5,101.62,140.09,1.407625330175506,-0.32783636021667917
182,23935.592374669824,7806.227836360216,0,118,4.4034,4124.3,133.29,160.8,152.6,1.407625330175506,-0.32783636021667917
183,27363.592374669824,673.1878363602167,0,118,4.3425,3270.6,132.39,139.64,130.25,1.407625330175506,-0.32783636021667917
184,33449.592374669824,2495.7278363602168,0,118,4.2327,3556.0,127.31,151.08,135.41,1.407625330175506,-0.32783636021667917
185,44741.592374669824,11684.327836360217,0,118,4.1273,3289.3,123.55,186.03,127.45,1.407625330175506,-0.32783636021667917
186,45481.592374669824,24964.327836360215,0,118,6.2239,2449.8,112.7,73.988,150.07,1.407625330175506,-0.32783636021667917
187,48532.592374669824,14994.327836360217,0,118,7.1234,1868.9,116.11,82.90700000000001,139.18,1.407625330175506,-0.32783636021667917
188,5494.415575481626,23616.34482127903,0,119,5.3696,3320.4,120.97,90.959,159.68,1.4844245183739986,-0.3448212790317484
189,11823.515575481626,21720.34482127903,0,119,2.8611,7235.7,145.95,318.1,148.7,1.4844245183739986,-0.3448212790317484
190,23930.515575481626,7817.044821279032,0,119,4.7444,3555.9,132.37,129.13,147.56,1.4844245183739986,-0.3448212790317484
191,27352.515575481626,677.5048212790317,0,119,4.9813,2570.1,132.15,141.81,124.74,1.4844245183739986,-0.3448212790317484
192,33462.51557548162,2495.144821279032,0,119,4.5275,3162.7,125.09,168.32,133.21,1.4844245183739986,-0.3448212790317484
193,33413.51557548162,36003.34482127903,0,119,2.9573,6322.8,137.98,268.58,141.79,1.4844245183739986,-0.3448212790317484
194,44735.51557548162,11688.344821279032,0,119,3.4237,4258.6,123.23,216.5,128.52,1.4844245183739986,-0.3448212790317484
195,45493.51557548162,24950.34482127903,0,119,7.5704,1896.9,114.98,46.88,147.38,1.4844245183739986,-0.3448212790317484
196,5490.538922740072,23617.361678428817,0,120,4.9845,3147.8,140.48,145.99,140.34,1.5610772599284246,-0.36167842881695833
197,11831.438922740072,21722.361678428817,0,120,3.9798,4922.8,137.3,160.0,156.0,1.5610772599284246,-0.36167842881695833
198,18536.43892274007,31088.361678428817,0,120,4.8031,3793.5,123.53,107.06,157.68,1.5610772599284246,-0.36167842881695833
199,27353.43892274007,676.5216784288169,0,120,4.8982,3043.5,122.96,105.95,139.6,1.5610772599284246,-0.36167842881695833
200,33453.43892274007,2488.161678428817,0,120,3.313,4591.8,132.77,227.54,128.53,1.5610772599284246,-0.36167842881695833
201,33406.43892274007,36015.36167842882,0,120,4.1253,3901.9,138.68,189.48,137.87,1.5610772599284246,-0.36167842881695833
202,44739.43892274007,11683.361678428817,0,120,3.3338,4745.2,114.88,156.5,136.53,1.5610772599284246,-0.36167842881695833
203,5483.862416271848,23642.37840803704,0,121,4.5124,3740.4,136.33,202.32,145.85,1.6375837281520944,-0.3784080370405718
204,11832.362416271848,21718.37840803704,0,121,2.5916,8327.0,159.82,401.52,146.74,1.6375837281520944,-0.3784080370405718
205,18544.362416271848,31102.37840803704,0,121,5.5806,3172.5,118.59,101.73,160.38,1.6375837281520944,-0.3784080370405718
206,20845.362416271848,42365.37840803704,0,121,7.3131,2642.0,148.87,198.36,166.68,1.6375837281520944,-0.3784080370405718
207,27350.362416271848,681.3984080370406,0,121,4.925,2748.0,126.64,100.07,130.37,1.6375837281520944,-0.3784080370405718
208,33406.36241627185,36023.37840803704,0,121,5.1117,3119.9,123.52,87.949,146.47,1.6375837281520944,-0.3784080370405718
209,44734.36241627185,11689.37840803704,0,121,4.3375,3056.3,118.69,158.44,127.83,1.6375837281520944,-0.3784080370405718
210,45509.36241627185,24960.37840803704,0,121,6.8831,2333.3,113.76,69.874,156.64,1.6375837281520944,-0.3784080370405718
211,5504.386055903642,23625.395010331173,0,122,4.3478,4088.6,144.4,170.76,147.85,1.7139440963583183,-0.3950103311726707
212,11814.286055903642,21717.395010331173,0,122,3.8073,4679.1,143.86,183.59,144.24,1.7139440963583183,-0.3950103311726707
213,18539.28605590364,31086.395010331173,0,122,4.4844,3697.8,130.85,105.43,144.96,1.7139440963583183,-0.3950103311726707
214,20823.28605590364,42401.39501033117,0,122,5.7051,3857.5,147.39,293.9,175.01,1.7139440963583183,-0.3950103311726707
215,27359.28605590364,662.3750103311727,0,122,4.644,3089.3,132.18,150.69,132.72,1.7139440963583183,-0.3950103311726707
216,33416.28605590364,35997.39501033117,0,122,3.2744,5646.1,133.62,189.94,145.09,1.7139440963583183,-0.3950103311726707
217,44737.28605590364,11686.395010331173,0,122,4.4071,2938.1,118.85,148.51,126.24,1.7139440963583183,-0.3950103311726707
218,5484.009841462165,23633.411485538687,0,123,5.0444,2819.3,148.07,188.87,130.26,1.790158537834941,-0.4114855386851559
219,11829.209841462165,21707.411485538687,0,123,5.4093,2900.2,128.14,84.613,144.99,1.790158537834941,-0.4114855386851559
220,18540.209841462165,31065.411485538687,0,123,5.4914,3029.3,126.62,147.9,150.36,1.790158537834941,-0.4114855386851559
221,20786.209841462165,42440.41148553869,0,123,6.4816,2530.1,141.11,136.89,149.68,1.790158537834941,-0.4114855386851559
222,27361.209841462165,667.0914855386851,0,123,5.409,2430.9,129.37,121.05,129.2,1.790158537834941,-0.4114855386851559
